url,manufacturer,car_name,body_style_general,body_style,production_start,production_end,production_end_display,car_label,half_decade,decade,length,width,width_incl_mirrors,height,wheelbase,ground_clearance,cargo_volume,cargo_volume_max,weight,segment,price_eu,price_us
https://www.carsized.com/en/cars/honda-hr-v-2013-suv/,Honda,HR-V,SUV,SUV,2013,2018.0,2018,Honda HR-V (2013-2018),2010-2014,2010s,429.4,177.2,201.9,160.5,261.0,17.0,431.0,1456.0,1312.0,Standard,20690.0,19215.0
https://www.carsized.com/en/cars/honda-hr-v-2021-suv/,Honda,HR-V,SUV,SUV,2021,,present,Honda HR-V (2021-present),2020-2024,2020s,434.0,186.6,202.8,158.2,261.0,18.8,335.0,1305.0,1452.0,Standard,33900.0,
https://www.carsized.com/en/cars/honda-hr-v-2022-suv-us/,Honda,HR-V US,SUV,SUV,2022,,present,Honda HR-V US (2022-present),2020-2024,2020s,456.7,183.9,,161.0,265.4,17.8,,,1433.0,Standard,,23800.0
https://www.carsized.com/en/cars/honda-insight-2009-liftback/,Honda,InsightZE,Liftback,Liftback,2009,2012.0,2012,Honda InsightZE (2009-2012),2005-2009,2000s,439.5,169.5,,142.5,254.5,12.5,408.0,1017.0,1276.0,Standard,19990.0,
https://www.carsized.com/en/cars/honda-jazz-fit-2002-5-door-hatchback/,Honda,Jazz/Fit,Hatchback,5-door Hatchback,2002,2004.0,2004,Honda Jazz/Fit (2002-2004),2000-2004,2000s,383.0,167.5,,152.5,245.0,,380.0,1323.0,1071.0,Standard,11990.0,
https://www.carsized.com/en/cars/honda-jazz-fit-2011-5-door-hatchback/,Honda,Jazz/Fit,Hatchback,5-door Hatchback,2011,2015.0,2015,Honda Jazz/Fit (2011-2015),2010-2014,2010s,390.0,169.5,,152.5,249.5,13.0,408.0,1362.0,1119.0,Standard,12990.0,
https://www.carsized.com/en/cars/honda-jazz-fit-2017-5-door-hatchback/,Honda,Jazz/Fit,Hatchback,5-door Hatchback,2017,2020.0,2020,Honda Jazz/Fit (2017-2020),2015-2019,2010s,402.8,169.4,198.0,155.0,253.0,11.0,354.0,1314.0,1073.0,Standard,16640.0,
https://www.carsized.com/en/cars/honda-jazz-fit-2020-5-door-hatchback-crossover/,Honda,Jazz/Fit Crosstar,Crossover,5-door Hatchback Crossover,2020,,present,Honda Jazz/Fit Crosstar (2020-present),2020-2024,2020s,409.0,169.4,196.6,155.6,252.0,15.2,298.0,1199.0,1325.0,Standard,28750.0,
https://www.carsized.com/en/cars/honda-jazz-fit-2020-5-door-hatchback/,Honda,Jazz/Fit,Hatchback,5-door Hatchback,2020,,present,Honda Jazz/Fit (2020-present),2020-2024,2020s,404.4,169.4,196.6,152.6,251.7,13.6,304.0,1205.0,1300.0,Standard,22850.0,
https://www.carsized.com/en/cars/honda-nsx-2016-coupe/,Honda,NSX,Coupé,Coupé,2016,,present,Honda NSX (2016-present),2015-2019,2010s,448.7,193.9,221.7,120.4,263.0,10.4,110.0,,1847.0,Premium,185000.0,
https://www.carsized.com/en/cars/honda-odyssey-1998-minivan-us/,Honda,Odyssey US,Minivan,Minivan,1998,2004.0,2004,Honda Odyssey US (1998-2004),1995-1999,1990s,511.0,192.0,,174.0,300.0,16.3,,,1945.0,Standard,,23000.0
https://www.carsized.com/en/cars/honda-odyssey-2014-minivan-us/,Honda,Odyssey US,Minivan,Minivan,2014,2017.0,2017,Honda Odyssey US (2014-2017),2010-2014,2010s,515.4,201.2,,173.7,300.0,11.4,,,1994.0,Standard,,28825.0
